,mean,med,std
2012-11-05,7.9040678473989665,7.232597623089983,7.190215187547541
2012-11-06,7.894397637876424,7.096219931271476,7.194397337933287
2012-11-07,7.941773270038412,7.269007089253222,7.186716842001712
2012-11-08,7.753941038670485,6.907216494845359,7.056912163081194
2012-11-09,7.743370464510262,6.923076923076923,7.057772172996845
2012-11-12,7.792244917502733,6.88026981450253,7.121819475772073
2012-11-13,7.905993220403441,7.6350093109869634,7.171446718133101
2012-11-14,7.859210226441814,7.688723205964585,7.109032550704374
2012-11-15,7.755984814216051,7.450796626054358,6.993697602011009
2012-11-16,7.683046232064222,6.944388676972496,6.946174846808545
2012-11-19,7.669873876665736,6.888191307454762,6.929369937330665
2012-11-20,7.688226946208322,6.8311730825951535,6.974691173764993
2012-11-21,7.709427689810824,6.853075092270014,6.985717198822024
2012-11-22,7.6644271185153645,6.886209029066172,6.954398487216617
2012-11-23,7.666934849151706,6.945963313946395,6.957155095180372
2012-11-26,7.716308745358148,7.19281663516068,6.951182182711989
2012-11-27,7.59838210643426,6.986692015209125,6.841292705249101
2012-11-28,7.519951654461915,6.886341929321873,6.764006295537438
2012-11-29,7.495171291401011,6.991236611489775,6.75914175283186
2012-11-30,7.5870253127195335,7.201301060658096,6.770875560297684
2012-12-03,7.249072032876155,6.900315935086484,6.491561282666254
2012-12-04,7.278574677936715,6.956622094874244,6.506428100276807
2012-12-05,7.309832043618851,6.947578804248215,6.5256348883729745
2012-12-06,7.308731326337159,6.898129758358159,6.5485572868324375
2012-12-07,7.383927867654608,6.992835043152581,6.638185150174946
2012-12-10,7.450577143520511,7.011636543698935,6.730831827792763
2012-12-11,7.4524754674879325,7.029541388843715,6.73209038710778
2012-12-12,7.454232713077893,7.022276968920719,6.749488518367322
2012-12-13,7.402792304413736,6.8760907504363,6.798946324225755
2012-12-14,7.4988348631170485,7.060939907550077,6.78487434593813
2012-12-17,7.520956432662845,7.175348574395627,6.797461182013611
2012-12-18,7.52202004626003,7.1296089697104925,6.793768452390609
2012-12-19,7.612723090960991,7.326642335766424,6.798565714528195
2012-12-20,7.585849882018862,7.363636363636362,6.766143727428127
2012-12-21,7.596561017992633,7.17741935483871,6.7850747920703665
2012-12-24,7.386819444159733,6.9491525423728815,6.708364831085348
2012-12-25,7.453469186108279,7.094872420311697,6.713047163783585
2012-12-26,7.504130274513539,7.1853741496598635,6.668899847746699
2012-12-27,7.404555772456278,7.0638297872340425,6.5695979527459025
2012-12-28,7.397303090962249,7.4602861823823545,6.469743699480251
2012-12-31,7.37061164977221,7.485507217037473,6.450952302371747
2013-01-04,7.281582977353226,7.307151192845711,6.415274451587609
2013-01-07,7.000379090640976,7.270409837141246,6.148418532830023
2013-01-08,6.722384167793658,6.891788181120491,5.863214325806253
